segment_id,entity_id,entity_name,question_no,question_type,run_no,provider,measured_at,mentioned,matched_alias,first_index,mention_rank,cited,via_domain,matched_source_field,matched_source_url,answer_excerpt,review_status,review_note
kr-ko-mapo-tax-accountants,tax-mapo-001,커넥트 세무회계,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,커넥트 세무회계,0,1,true,connect-tax.example.kr,homepage,https://connect-tax.example.kr,커넥트 세무회계와 공덕택스파트너스는 개인사업자 기장 상담에서 자주 비교됩니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-002,공덕택스파트너스,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,공덕택스파트너스,10,2,false,,,,커넥트 세무회계와 공덕택스파트너스는 개인사업자 기장 상담에서 자주 비교됩니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-003,합정세무사무소,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,커넥트 세무회계와 공덕택스파트너스는 개인사업자 기장 상담에서 자주 비교됩니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-001,커넥트 세무회계,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,공덕역 근처 법인 세무 상담은 공덕택스파트너스와 합정세무사무소 정보를 확인할 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-002,공덕택스파트너스,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,공덕택스파트너스,17,1,true,gongdeok-tax.example.kr,homepage,https://gongdeok-tax.example.kr,공덕역 근처 법인 세무 상담은 공덕택스파트너스와 합정세무사무소 정보를 확인할 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-003,합정세무사무소,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,합정세무사무소,27,2,false,,,,공덕역 근처 법인 세무 상담은 공덕택스파트너스와 합정세무사무소 정보를 확인할 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-001,커넥트 세무회계,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"세무사를 바꿀 때는 기장 범위, 법인 경험, 세무조사 대응 여부, 공식 프로필을 확인해야 합니다.",pending,
kr-ko-mapo-tax-accountants,tax-mapo-002,공덕택스파트너스,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"세무사를 바꿀 때는 기장 범위, 법인 경험, 세무조사 대응 여부, 공식 프로필을 확인해야 합니다.",pending,
kr-ko-mapo-tax-accountants,tax-mapo-003,합정세무사무소,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"세무사를 바꿀 때는 기장 범위, 법인 경험, 세무조사 대응 여부, 공식 프로필을 확인해야 합니다.",pending,
kr-ko-mapo-tax-accountants,tax-mapo-001,커넥트 세무회계,4,problem,1,mock,2026-07-19T09:00:00+09:00,true,커넥트세무,49,1,true,connect-tax.example.kr,homepage,https://connect-tax.example.kr,프리랜서 종소세는 상담 범위와 신고 경험이 공개된 세무사무소를 비교하는 것이 좋습니다. 커넥트세무 사례를 볼 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-002,공덕택스파트너스,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,프리랜서 종소세는 상담 범위와 신고 경험이 공개된 세무사무소를 비교하는 것이 좋습니다. 커넥트세무 사례를 볼 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-003,합정세무사무소,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,프리랜서 종소세는 상담 범위와 신고 경험이 공개된 세무사무소를 비교하는 것이 좋습니다. 커넥트세무 사례를 볼 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-001,커넥트 세무회계,5,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,세무조사 상담은 대응 경험과 전문 분야가 공개된 공덕택스파트너스 같은 사무소를 확인하세요.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-002,공덕택스파트너스,5,trigger,1,mock,2026-07-19T09:00:00+09:00,true,공덕택스파트너스,27,1,true,gongdeok-tax.example.kr,homepage,https://gongdeok-tax.example.kr,세무조사 상담은 대응 경험과 전문 분야가 공개된 공덕택스파트너스 같은 사무소를 확인하세요.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-003,합정세무사무소,5,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,세무조사 상담은 대응 경험과 전문 분야가 공개된 공덕택스파트너스 같은 사무소를 확인하세요.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-001,커넥트 세무회계,6,trigger,1,mock,2026-07-19T09:00:00+09:00,true,커넥트 세무회계,22,2,true,connect-tax.example.kr,homepage,https://connect-tax.example.kr,상속세와 양도세 상담은 합정세무사무소와 커넥트 세무회계의 공개 정보를 비교해볼 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-002,공덕택스파트너스,6,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,상속세와 양도세 상담은 합정세무사무소와 커넥트 세무회계의 공개 정보를 비교해볼 수 있습니다.,pending,
kr-ko-mapo-tax-accountants,tax-mapo-003,합정세무사무소,6,trigger,1,mock,2026-07-19T09:00:00+09:00,true,합정세무사무소,13,1,true,hapjeong-tax.example.kr,homepage,https://hapjeong-tax.example.kr,상속세와 양도세 상담은 합정세무사무소와 커넥트 세무회계의 공개 정보를 비교해볼 수 있습니다.,pending,
