segment_id,entity_id,entity_name,question_no,question_type,run_no,provider,measured_at,mentioned,matched_alias,first_index,mention_rank,cited,via_domain,matched_source_field,matched_source_url,answer_excerpt,review_status,review_note
kr-ko-mapo-clinics,clinic-mapo-001,공덕서울의원,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,공덕서울의원,8,2,false,,,,마포연세내과와 공덕서울의원은 야간진료 여부를 확인해볼 만한 병의원입니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-002,마포연세내과,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,마포연세내과,0,1,true,mapo-yonsei.example.kr,homepage,https://mapo-yonsei.example.kr,마포연세내과와 공덕서울의원은 야간진료 여부를 확인해볼 만한 병의원입니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-003,합정가정의학과,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,마포연세내과와 공덕서울의원은 야간진료 여부를 확인해볼 만한 병의원입니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-001,공덕서울의원,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,공덕서울의원,0,1,true,gongdeok-clinic.example.kr,homepage,https://gongdeok-clinic.example.kr,공덕서울의원은 공덕 근처 검진 문의가 가능한 의원으로 공개 정보가 있습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-002,마포연세내과,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,공덕서울의원은 공덕 근처 검진 문의가 가능한 의원으로 공개 정보가 있습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-003,합정가정의학과,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,공덕서울의원은 공덕 근처 검진 문의가 가능한 의원으로 공개 정보가 있습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-001,공덕서울의원,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"비급여와 예약 정보는 공식 사이트, 지도 프로필, 고지 페이지를 함께 확인해야 합니다.",pending,
kr-ko-mapo-clinics,clinic-mapo-002,마포연세내과,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"비급여와 예약 정보는 공식 사이트, 지도 프로필, 고지 페이지를 함께 확인해야 합니다.",pending,
kr-ko-mapo-clinics,clinic-mapo-003,합정가정의학과,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"비급여와 예약 정보는 공식 사이트, 지도 프로필, 고지 페이지를 함께 확인해야 합니다.",pending,
kr-ko-mapo-clinics,clinic-mapo-001,공덕서울의원,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,진료과 정보는 공식 홈페이지와 지도 프로필의 진료 항목을 확인하는 것이 좋습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-002,마포연세내과,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,진료과 정보는 공식 홈페이지와 지도 프로필의 진료 항목을 확인하는 것이 좋습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-003,합정가정의학과,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,진료과 정보는 공식 홈페이지와 지도 프로필의 진료 항목을 확인하는 것이 좋습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-001,공덕서울의원,5,trigger,1,mock,2026-07-19T09:00:00+09:00,true,공덕서울의원,22,1,true,gongdeok-clinic.example.kr,homepage,https://gongdeok-clinic.example.kr,퇴근 후 방문은 야간진료 여부가 공개된 공덕서울의원 또는 마포연세내과 정보를 확인하세요.,pending,
kr-ko-mapo-clinics,clinic-mapo-002,마포연세내과,5,trigger,1,mock,2026-07-19T09:00:00+09:00,true,마포연세내과,32,2,true,mapo-yonsei.example.kr,homepage,https://mapo-yonsei.example.kr,퇴근 후 방문은 야간진료 여부가 공개된 공덕서울의원 또는 마포연세내과 정보를 확인하세요.,pending,
kr-ko-mapo-clinics,clinic-mapo-003,합정가정의학과,5,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,퇴근 후 방문은 야간진료 여부가 공개된 공덕서울의원 또는 마포연세내과 정보를 확인하세요.,pending,
kr-ko-mapo-clinics,clinic-mapo-001,공덕서울의원,6,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,건강검진 상담은 마포연세내과와 합정가정의학과의 공식 안내를 비교해볼 수 있습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-002,마포연세내과,6,trigger,1,mock,2026-07-19T09:00:00+09:00,true,마포연세내과,9,1,true,mapo-yonsei.example.kr,homepage,https://mapo-yonsei.example.kr,건강검진 상담은 마포연세내과와 합정가정의학과의 공식 안내를 비교해볼 수 있습니다.,pending,
kr-ko-mapo-clinics,clinic-mapo-003,합정가정의학과,6,trigger,1,mock,2026-07-19T09:00:00+09:00,true,합정가정의학과,17,2,true,hapjeong-family.example.kr,homepage,https://hapjeong-family.example.kr,건강검진 상담은 마포연세내과와 합정가정의학과의 공식 안내를 비교해볼 수 있습니다.,pending,
